Domaine d'intervention;STRUCTURE PORTEUSE;ESPACE/LIEUX/SERVICE;ADRESSE;CP;VILLE;INTITULE ACTION;Coordonnées Référent;DESCRIPTION;METHODE ET OUTILS;MODE D'INTERVENTION;PUBLIC CIBLE;SITE INTERNET
ACCULTURATION ET EDUCATION AU NUMERIQUE;Association Sport et Culture en Champsaur – Centre social Planète Champsaur ;EPCI du Haut Champsaur ;;05260;Saint-Jean Saint-Nicolas;Ateliers informatiques;Tel: 04 92 49 98 69 Mail: scccyber@free.fr;Animations dans le cadre des ERIC  dans 11 Communes de notre territoire;Mise à disposition du matériel ainsi que d'un médiateur pour chaque atelier.;Ateliers collectifs et individuels;Habitants de la vallée du Champsaur et public de passage;
ART, CULTURE ET PATRIMOINE;Association Sport et Culture en Champsaur – Centre social Planète Champsaur ;EPCI du Haut Champsaur ;;05260;Saint-Jean Saint-Nicolas;Ateliers multimédias;Tel: 04 92 49 98 69 Mail: scccyber@free.fr;Autour de la création numérique (images / vidéo / son ...);Mise à disposition du matériel ainsi que d'un médiateur pour chaque atelier.;Ateliers collectifs;Habitants de la vallée du Champsaur et public de passage;
MISE A DISPOSITION D'ESPACES, DE MATERIELS ET DE RESSOURCES NUMERIQUES;Association Sport et Culture en Champsaur – Centre social Planète Champsaur ;EPCI du Haut Champsaur ;;05260;Saint-Jean Saint-Nicolas;Cyber Espace;Tel: 04 92 49 98 69 Mail: scccyber@free.fr;Donner accès à un ordinateur et à Internet à toutes personnes ayant le besoin.;Libre accès, possibilité de conseil, d’écoute et d’aide par la personne qui se charge de l’accueil;Espace libre et autonome pendant les heures d’ouverture de l’accueil.;Habitants de la vallée du Champsaur, touristes.;
PARTICIPATION CITOYENNE;Association Sport et Culture en Champsaur – Centre social Planète Champsaur ;EPCI du Haut Champsaur ;;05260;Saint-Jean Saint-Nicolas;Media Lab;Tel: 04 92 49 98 69 Mail: scc.collectes@free.fr, scccyber@free.fr;Donner les outils et créer un espace  pour donner la parole au habitants, mettre en valeur les événements de la vallée.;Mise à disposition du matériel ainsi que d'un médiateur pour créer des reportages, interviews Open-Plateau;Ateliers collectifs et petits groupes. Suivant les demandes et les envies des habitants;Habitants de la vallée du Champsaur;
ART, CULTURE ET PATRIMOINE;Association Sport et Culture en Champsaur – Centre social Planète Champsaur ;EPCI du Haut Champsaur ;;05260;Saint-Jean Saint-Nicolas;TAP;Tel: 04 92 49 98 69 Mail: scc.collectes@free.fr, scccyber@free.fr;Découverte du numérique, apprentissage du code, Initiation à la video, Stop-Motion etc;;Ateliers collectifs dans les écoles;Enfants du CP au CM2;
PARTICIPATION CITOYENNE;Association Sport et Culture en Champsaur – Centre social Planète Champsaur ;EPCI du Haut Champsaur ;;05260;Saint-Jean Saint-Nicolas;Wiki Champsaur Valgo;Tel: 04 92 49 98 69 Mail: scc.collectes@free.fr;Donner les outils et créer un espace  pour donner la parole aux habitants pour parler de leur vallée.;Mise à disposition du matériel ainsi que d’un médiateur pour créer des reportages, interviews, articles pour mettre en valeur le patrimoine de la vallée ainsi que ses habitants;"Atelier Habitants et territoire : rencontre autour d’une thématique locale, atelier participatif
WikiTime : Accompagnement à la création d’articles (sonores / vidéos / photos / texte) en vue d’une publication sur le site internet
Site Internet : Rendez-vous sur www.wiki-champsaurvalgo.fr et découvrez le territoire à travers de nombreux thèmes.
";Habitants de la vallée du Champsaur et du Valgaudemard;
INSERTION ET FORMATIONS PROFESSIONNELLES;Université du Temps Libre des Hautes-Alpes;;Rue Bayard;05000;Gap;"ERIC Services ""Formation toute au long de la vie"", ""Education et culture""";Tel: 04 92 51 38 94 Mail: contact.utlgap@gmail.com;"Le premier bouquet de service permet de former des publics jugés prioritaires au Passeport Internet Multimédia, des professionnels à la stratgéie de communication sur le Web 2.0 et d'accompagner les déficients visuels dans la prise en main de l'ordinateur et d'internet grâce aux logiciels de lecture et d'agrandissement d'écran.
Le second bouquet de service vise les jeunes et les personnes qui les accompagnent pour les former à l’identité numérique, au bon usage des réseaux sociaux et à l’écriture journalistique sur les blogs.";;;Grand public et publics prioritaires, jeunes (12-17 ans), parents, éducateurs, animateurs;
INSERTION ET FORMATIONS PROFESSIONNELLES;Les Petits Débrouillards PACA;;;;;Class Code, maitriser la pensée informatique pour mieux la transmettre;"Tel : 06 38 80 85 10
Mail : y.sanchez@lespetitsdebrouillards.org
";Class´Code propose un programme de formation gratuit à destination de toutes personnes désireuses d’initier les jeunes de 8 à 14 ans à la pensée informatique. Le programme comprendra de 1 à 5 modules de formation en ligne d’une dizaine d’heures chacun, couplé à des temps de rencontre présentielle pour partager, expérimenter et échanger entre apprenants.;Au travers d’une pratique concrète de la programmation et d’activités débranchées, comprendre les concepts clés de l’informatique et les enjeux de société qui y sont liés pour être en capacité d’animer des ateliers sur ces sujets dès le premier module. ;"La formation se fait :
– en ligne, pour acquérir un savoir-faire concret (apprentissage par la pratique) et partager des savoirs.
– lors de temps de rencontre* pour tester les activités avant de les proposer aux jeunes, bénéficier de temps d’échanges avec des professionnels de l’éducation et de l’informatique, rester en lien ensuite pour être accompagné.
";"Professionels de l'enseignement, de la formation, de la médiation numérique, parents, tout curieux… 
Les contenus pédagogiques sur lesquels vous serez formés à animer sont destinés quant à eux à des enfants de 8 à 14 ans. 
";
ACCULTURATION ET EDUCATION AU NUMERIQUE;Les Petits Débrouillards PACA;;;;;Le Science Tour du Numérique;"Tel : 06 38 80 85 10
Mail : y.sanchez@lespetitsdebrouillards.org
";Le Science Tour est un dispositif de mobilisation et de mise en avant des acteurs de la médiation numérique. Partant de l’idée d’un Fablab itinérant, il permet la création d’espaces d’échanges, de débat, d’expérimentations et de questionnements en tout lieu et surtout là où on ne l’attend pas ! ;"La démarche des Petits Débrouillards est basée sur l’expérimentation afin de développer un regard curieux et informé sur le monde qui nous entoure. 

Une mise en scène ludique et des constructions simples et sans danger, à partir de matériel courant et peu coûteux, favorisent la participation active des publics. 

En animation, les participants réalisent des expériences, observent, discutent, se posent des questions, construisent des réponses, se posent d’autres questions, réalisent des projets et apprennent à apprendre tout en s’amusant.
";format événementiel et festif;Les publics privilégiés seront les jeunes ayant difficilement accès à l’offre de culture scientifique et numérique. Le projet vise prioritairement des interventions en semaine au sein de structures sociales et d’établissements scolaires situés en quartiers difficiles ou en zone rurale. Le science tour sera proposé au grand public les week-ends et mercredis. ;
ACCULTURATION ET EDUCATION AU NUMERIQUE;O.M.F.A.F ;CYBER-BASE VALLEE DE LA SIAGNE;Maison du Bayle 1220 route du village;06810;AURIBEAU SUR SIAGNE;Sensibilisation / Découverte;Tel: 04 93 42 56 56 Mail: cyber-base.auribeau@wanadoo.fr;Action de découverte de l’usage d’un ordinateur, d’un objet connecté, d’un logiciel, d’une application…;"Participative  Active  Inductive
Fiches de pré-requis ; etude de cas, questionnaires, exercices, présentations visuelles … 
";Activités et stages de loisirs : Ateliers Collectifs;Tout public;
INSERTION ET FORMATIONS PROFESSIONNELLES;O.M.F.A.F ;CYBER-BASE VALLEE DE LA SIAGNE;Maison du Bayle 1220 route du village;06810;AURIBEAU SUR SIAGNE;Passeport Internet et Multimédia;Tel: 04 93 42 56 56 Mail: cyber-base.auribeau@wanadoo.fr;Développer les actions partenariales avec les acteurs d’Insertion et de Prévention en incorporant la maîtrise de l’outil informatique en vue de la validation du Passeport Internet et Multimédia, et apporter ainsi une plu value au processus éducatif et formatif que dispense ces acteurs;Méthode participative : débats, questionnaires. Méthode démonstrative : manipulattion, explicitation. Méthode Active exercices, constitution de supports.;"Activités / Stage loisirs    
Ateliers
";Adolescents de 14 à 21 ans, présentant des difficultés d’adaptation sociale, familiale et scolaire;
ACCULTURATION ET EDUCATION AU NUMERIQUE;L’Epi;ERIC;25, place de Provence ;06470;GUILLAUMES;;Tel: 04 93 02 08 67 Mail: sylvaine.litaud@ufcv.fr;"Accès aux services numériques
Découverte de l’outil informatique
Découverte des tablettes.
";Faire faire, faire avec, co-construction;Formation, accompagnement individuel, stages;Tout public;
INSERTION ET FORMATIONS PROFESSIONNELLES;ERIC des Monts d’Azur;;344, avenue des Hôtels;06850;SAINT-AUBAN;;Tel: 04 93 60 79 35;"Interventions venant compléter le travail des partenaires à l’emploi et permettant de rendre autonome les DE sur leur recherche d’emploi : refonte CV et mise en ligne, lettres de motivation, initiation bureautique, Internet,  inscription PE, préparation à l’entretien d’embauche, …

Mise en place et participation aux évènements liés à l’emploi (forum des services publics et des associations, marathon emploi, semaine de l’emploi, ….) et d’actions (mise en relation DE via la visio avec la mission Locale, permanences délocalisées de l’ERIC, ateliers d’informations…)

Participation comité technique insertion emploi
";"Matériel informatique (neuf PC + imprimante-scanner), téléphonie, Support de cours bureautique
Accompagnement individuel et collectif
Ateliers d’informations partenaires
Communication d’évènements sur sites internet, affichage, flyers, collectivités, etc
Travail en partenariat avec les services à l’emploi et formations
";"Accompagnement collectif et individuel. 
Initiation bureautique – Internet - messagerie en vue de rendre autonome le public sur sa recherche d’emploi et ses télé candidatures.
Intervention de structures partenaires sur des ateliers d’information (ITA, Mosagri, Claie, MSA…) pour les porteurs de projets et tout DE (partenaires emploi)
Co-organisation et participations aux évènements partenaires comme les Forums à l’emploi, semaine à l’emploi, ….
Démarchage offre d’emploi auprès des entreprises locales.
Mise en relation DE-Partenaires via la visio
Permanence de l’ERIC des Monts d’Azur délocalisée sur une commune de proximité les 1er et 3ème jeudis du mois
";Demandeurs d'emploi;
INSERTION ET FORMATIONS PROFESSIONNELLES;EVALECO Num'ERIC21;;23 route de la Marigarde;06130;GRASSE;Atelier CPF (Compte Personnel de Formation);Tel: 04 93 77 51 93 Mail: eric21@evaleco.org ;Créer et suivre son compte personnel de formation : rechercher une formation, faire une demande de formation et suivre son dossier;site web CPF;Atelier collectif;Demandeurs d'emploi, Salariés;
INSERTION ET FORMATIONS PROFESSIONNELLES;EVALECO Num'ERIC21;;23 route de la Marigarde;06130;GRASSE;Atelier CV compétences;;Structurer et mettre en forme son CV, mettre en valeur ses compétences  pour une diffusion numérique;Tableur, cv;Atelier collectif;Demandeurs d'emploi, Salariés;
ACCULTURATION ET EDUCATION AU NUMERIQUE;EVALECO Num'ERIC21;;23 route de la Marigarde;06130;GRASSE;Atelier bureautique et internet;;Cycle de 5 ateliers :  Souris/Clavier/Dactylo, Messagerie, Traitement de texte, Navigation web, Recherche web;logiciels libres (libreoffice writer, mozilla, vidéos, etc);Atelier collectif;Demandeurs d'emploi, Salariés;
ACCULTURATION ET EDUCATION AU NUMERIQUE;EVALECO Num'ERIC21;;23 route de la Marigarde;06130;GRASSE;Atelier AIS (Atelier Informatique Solidaire);;Cycle de 4 ateliers : Connaître le matériel, entretenir son ordinateur, être un acheteur averti, Faire sa veille technologique;Ordinateur HS démantelé, logiciels (Ccleaner,etc);Atelier collectif;Tout public;
ACCULTURATION ET EDUCATION AU NUMERIQUE;EVALECO Num'ERIC21;;23 route de la Marigarde;06130;GRASSE;Atelier Smartphone/Tablette (Android);;Connaître l'environnement général, les paramètres et les applications afin de personnaliser son utilisation (Android);Tablettes et smartphones des participants;Atelier collectif;Tout public;
ACCULTURATION ET EDUCATION AU NUMERIQUE;EVALECO Num'ERIC21;;23 route de la Marigarde;06130;GRASSE;Atelier Smartphone/Tablette (Apple);;Connaître l'environnement général, les paramètres et les applications afin de personnaliser son utilisation (Apple);Tablettes et smartphones des participants;Atelier collectif;Tout public;
ACCULTURATION ET EDUCATION AU NUMERIQUE;EVALECO Num'ERIC21;;23 route de la Marigarde;06130;GRASSE;Atelier Initiation à la fabrication numérique;;Connaitres les différentes étapes de la conception à la réalisation de la pièce.;imprimante 3D ou fraiseuse numérique;Atelier collectif;Tout public;
ACCULTURATION ET EDUCATION AU NUMERIQUE;EVALECO Num'ERIC21;;23 route de la Marigarde;06130;GRASSE;Atelier Initiation à la programmation de cartes Arduino;;Savoir ce qu'est une carte Arduino, ce qu'elle permet de faire. Avoir une idée de comment elle se programme;ordinateur, carte arduino et extensions;Atelier collectif;Tout public;
ADMINISTRATION EN LIGNE;Foyer Rural CEPAGE;ERIC;1 avenue Miss Pell;06260;Puget-Théniers ;Accompagnement individualisé ;Tel: 04 93 03 31 15 Mail: mtk-cepage@wanadoo.fr ;" Il s’agit d’un accompagnement individuel et personnalisé pour leur permettre d’effectuer leurs démarches de recherches d’emploi et administratives: ? Construire et/ou améliorer son CV
? Rédiger une lettre de motivation 
? Répondre à une télé-candidature
? Créer un espace emploi personnel 
? Rechercher une formation 
? Actualiser sa situation 
? Changer son adresse et/ou ses coordonnées 
? Déclaration trimestrielle de ressources 
? Simulation de demande de RSA
";Démarche individuelle qui tient compte des besoins de chacun des stagiaires et intègre une réflexion surs les usages, en plus d’une formation informatique.;Un animateur numérique est présent lors de cet accompagnement  et répond aux sollicitations du public pour tout ce qui touche à la recherche d’emploi et aux démarches administratives liées à l’emploi et à l’insertion.;Demandeurs d’emploi ou des bénéficiaires du RSA qui ont déjà une maitrise des TIC.;
INSERTION ET FORMATIONS PROFESSIONNELLES;Foyer Rural CEPAGE;ERIC;1 avenue Miss Pell;06260;Puget-Théniers ;Accompagnement individualisé renforcé ;Tel: 04 93 03 31 15 Mail: mtk-cepage@wanadoo.fr ;;;Un animateur est à la disposition de ces publics pour les accompagner dans leurs premiers pas en informatique. ;Ce service est proposé à des personnes que nous ont été préalablement ciblées.;
